name,category,review.point,price,description
"wemyss malts vanilla summer single cask, 46%",Blended Malt Scotch Whisky,86,79,"the latest batch of single cask releases from wemyss malts includes vanilla summer. it is an unspecified highland single malt, distilled in 1997, and the bourbon cask in which it was matured has yielded 263 bottles. vanilla, buttercups, and violets on the nose, developing bramley apples with peaches and cream. background of mildly spicy malt. sweet and floral on the palate, with tropical fruits, fudge, and ginger. slowly drying with benevolent oak, but ultimately a lingering creaminess. £50 (not available in the u.s.)"
"wemyss malts peat chimney, 46%",Blended Scotch Whisky,86,54,"imagine your nose hovering inches above well-dried peat, then throw in salted nuts, brittle toffee, and an intensification of vanilla pods. this feels more rounded and balanced than earlier bottlings and is the better for it. warm, sweet caramel, juicy orange, and lime zest are shot through with peat, the rising smoke driving you back while pepper and ginger give close support. the most improved of the wemyss three, but a bit more heft in the composition wouldn’t go amiss. £37"
"black bull 8 year old, 50%",Blended Scotch Whisky,86,39,"the youngest age statement bull in the fold, this one has shredded citrus peel, fleshy grapefruit, candied orange peel, and lemon meringue pie. soft fudge, honey, tart lemon, and buttery pastry with a nip of peppery spice under the tongue complete a satisfying combination. a delicious everyday kind of dram, and i preferred this expression’s brightness and attack of the flavors over the 12 year old."
"islay mist, 12 year old, 40%",Blended Scotch Whisky,86,50,"more rounded, with greater depth when compared to the 8 year old offering. not as medicinal and less sweet, more toffee and less honey, with more dried spice interwoven throughout. the herbs are still there, along with licorice root. dry, burning-ember finish. nicely balanced, which makes it my favorite of the three.
"
"kilchoman sauternes cask matured, 50%",Single Malt Scotch,86,100,"this 2016 release follows similar port and madeira quarter cask-matured kilchomans, with sauternes casks being pressed into service this time. the casks in question were sourced from château d’yquem and the whisky is 5 years old. earthy peat, a savory note, vanilla, citrus fruit, and sweet wine on the nose, while the palate offers smoked haddock, tarry rope, and bonfire embers. the finish is relatively long, with fruity peat. (6,000 bottles)"
"royal lochnagar triple matured edition, 48%",Single Malt Scotch,86,135,"diageo is releasing five triple matured single malts, all exclusive to friends of the classic malts and without age statements. initial maturation was in refill casks, followed by a period in charred american oak hogsheads, and finally european oak refill casks. sweet on the nose, with heather honey and gingerbread; slightly herbal. resinous and waxy. cloves, cinnamon, oak, and black pepper notes on the buttery palate. medium length in the finish, with lingering cloves and freshly-sawn oak. £80"
"duncan taylor nc2 (distilled at balmenach) 2000 9 year old, 46%",Single Malt Scotch,86,55,"young it certainly is. precocious even, and a pallid-looking youth on first impression, but behind that bland exterior is freshness and life with a fragrance that is very un-balmenach, all chilled muscat grapes, melon, even some cucumber. this general perfumed zinginess continues on the tongue, though the weight of the distillate (balmenach has worm tubs) anchors it well. it’s not about age — it’s about character. enjoy. "
"glen moray elgin classic chardonnay cask finish, 40%",Single Malt Scotch,86,30,"after 6 to 7 years of maturation in bourbon casks, this spent several months in chardonnay white wine casks. the nose offers resinous wine notes, melon, grapefruit, and a hint of vanilla. nutty on the palate, with orchard fruits, more vanilla, and milk chocolate. peaches and a slightly oily note in the finish, with apples, nutmeg, and a sprinkling of black pepper."
"glen moray elgin classic peated, 40%",Single Malt Scotch,86,30,"highly approachable, with soft, earthy peat on the nose, plus pineapple, honey, and vanilla. warm leather, ashy peat, ripe pears, and discreet vanilla notes on the palate. slightly thinner than the unpeated classic. relatively long in the finish, with peppery peat and ultimately, aniseed."
"glen moray elgin classic sherry cask finish, 40%",Single Malt Scotch,86,30,"after 6 to 7 years in a bourbon cask, this is finished for 9 to 12 months in oloroso casks. sweet sherry, glacé cherries, butterscotch, and roses on the nose. medium-bodied, with caramel, dark chocolate-cherry liqueur, and warming spices. the finish yields black currant, cough medicine, then allspice, and slowly drying oak."
"the black grouse, 40%",Blended Scotch Whisky,86,29,"one might assume this to be just a smoky version of the standard famous grouse (with its honeyed malt, bright fruit, and floral demeanor). but, in addition to the enhanced smoke (which caringly adds a new dimension without smothering the other flavors), there also seems to be more malt body and oak spice in the mix, which i think takes black grouse to a higher level than famous grouse. the grain whisky contributes a “drinkability” component, making it a great introduction to smoky whiskies."
"kilkerran work in progress 5 bourbon, 46%",Single Malt Scotch,86,58,"the first kilkerran “work in progress” bottling from glengyle distillery appeared in 2009, and the ultimate aim is to bottle a 12 year old expression. for now, we have separate sherry butt-matured and bourbon barrel-matured expressions for 2013. the bourbon-aged variant offers vanilla, cinnamon, milk chocolate, ripe apples, and ultimately, slightly smoky mango notes on the nose. spicy on the palate, with blood orange and a hint of peat smoke. the medium-length finish is drying, with a wisp of smoke. £38 "
"douglas laing old particular range (distilled at auchroisk) 18 year old, 48.8%",Single Malt Scotch,86,120,"here is auchroisk at its more lifted and clean. a whiff of cooking lentils (a lovely smell) alongside lime and cottage cheese (again nice), it gives the impression of a healthy salad. the palate is sweet and quite buttery, with minimal attention from oak; instead it’s all very spring-like, with good mid-palate sweetness. water dries it slightly, but also extends the palate. quite lovely."
"speyburn bradan orach, 40%",Single Malt Scotch,86,20,"speyburn’s entry level nas single malt takes its name from the gaelic term for “golden salmon” and was matured in bourbon casks. the nose is light and youthful, with malt, vanilla, and unripe apples, while the palate offers more malt and vanilla, plus dry, spicy oak. the finish is medium in length and grassy, with ginger and further dry oak."
"singleton of glendullan 38 year old (diageo special release 2014), 59.8%",Single Malt Scotch,86,1250,"mature on the nose, mixing the tropical fruits of age with blanched almond. as it opens, you encounter moscato grapes dusted with white pepper. grows in sweetness. the palate continues this theme with the fruits (blueberry, raspberry, and pomegranate) typical of the distillery character, given a waxy coating by age. unctuous and good. water rather pulls the flesh from the bones, revealing its age, so leave well enough alone. (3,756 bottles)"
"hazelburn 10 year old, 46%",Single Malt Scotch,86,45,"this expression from springbank distillery is taking over from its highly regarded 12 year old sibling. it is unpeated, distilled three times, and matured in bourbon casks. it is non-chill filtered. the nose is gently floral, with pears, toffee, and soft oak, then emerging herbal tobacco notes. the palate is full and slightly oily, with cream, orchard fruits, cinnamon, and sea salt. the finish is long, with vanilla and cocoa powder."
"adelphi (distilled at dailuaine) 1983 27 year old, 58.1%",Single Malt Scotch,86,165,"the dark color shouts “sherried!” and the nose confirms. after an initial blast of marzipan there’s rosin, stewed assam tea, some licorice, hard treacle toffee, truffle, and a charred element, all backed with an earthy undertow. the palate is tight and quite hot, with charred red pepper and a bosky, wooded note. not a great fan of water — this is about that deep, fungal stuff — there’s an uplift of sweet dark fruits at the end, offering balance. £105"
"master of malt reference series ii, 47.5%",Blended Scotch Whisky,86,85,"now listen up class, it’s time for your next whisky lesson. here the educational blend contains 20% very old single malt, which delivers a nose of citrus peel, honey, air-dried ham, and some spices in the background. quite delicious, with orange, vanilla sponge, raisin, cremola foam assuaged by plain chocolate, and black forest gateau. this concoction is further tweaked three ways to complete reference series ii. a truly great drink in its own right that makes learning fun again. £56"
"master of malt single cask series (distilled at loch lomond) 18 year old, 60.5%",Grain Scotch Whisky,86,135,"the strength is immediately apparent, though the nose has a curious mix of potato chips, tarragon, salt, and fizzy sherbet. the palate is more fruity, quite syrupy and sugary, with a lift of honeycomb and spicy ginger. it develops spiced orange notes, lime, soft summer fruits, vanilla, and milka chocolate, encased in a thick, dense mouthfeel with nutmeg, dried peel, and powdered chocolate. a rumbustious dram at cask strength, but when tamed, it coaxes out ginger-sprinkled papaya and mango. (96 bottles) £89"
"ballantine’s 17 year old signature distillery editions – glentauchers, 40%",Blended Scotch Whisky,86,80,"glentauchers distillery is another chivas brothers workhorse located deep in the speyside countryside. through the aromas of honey, caramel, and vanilla peek barley stalks, hard pears, and hints of cadbury buttons. the flavor opens sweet, with red berries and parma violets. although this is intended to follow a lighter style, it’s very flavorsome, with creamy vanilla, poached pear, and dried apple. a juicy finish with fruitiness oozing from the cheeks."
"ballantine’s 12 year old, 40%",Blended Scotch Whisky,86,38,"wow! a noticeable step up in quality than ballantine’s finest (see below) with a perceptibly higher malt content. after eight mints, rolo toffees, spring florals, clean and creamy, plus some wood combine to produce an appealing nose. one sip confirms that this is gorgeously honeyed, layered, thick, and creamy, with heather honey, sweet oak, and ripe fruits, especially orange and mango. the finish is short, drying, sweet, and the only weak spot in an otherwise decent composition."
"blue hanger 10th blended malt, 45.6%",Blended Malt Scotch Whisky,86,100,"with some powerhouse whiskies in the blend (including an '87 bunnahabhain), it’s a surprise that the nose is so reserved, with citrus, ginger, and honey. on the palate you need your flavor shovel to unearth a core of typically strong flavors, including leather, oak, salt, dark chocolate, and even rancio. it’s delicious but highly elusive. the finish is medium and quite dry. what an odd blend. i haven’t had to work this hard for a blend in a long time. (u.s. only)"
"blue hanger 8th release, 45.6%",Blended Scotch Whisky,86,115,"this breaks blue hanger ranks because it's a traditional blended whisky rather than a blend of just malts. not that you see the joins. this is a rich, powerful, clean, and crisp whisky with a delightfully balanced flavor of pureed fruits and an unusual, almost menthol quality. smoke wanders in and out to complete the experience. (the whisky shop exclusive.)"
"douglas laing (distilled at glen mhor) 30 year old, 50%",Single Malt Scotch,86,179,"this veteran old malt cask offering was distilled in glen mhor, inverness during 1982. the early nose is very fruity, with jelly babies, then icing sugar and almonds come through, accompanied by supple malt. a good mouthfeel, with the fruitiness following on from the nose, joined by spicy toffee, a wisp of wood smoke, and old oak. the finish is medium to long, slightly resinous, and citric with a dash of cocoa and a hint of peat.  £115"
"william grant’s 18 year old rare, 40%",Blended Scotch Whisky,86,78,"the last eighteen months have been very good ones for blended and blended malt scotch whisky. shackleton and compass box set out in a fresh direction and there were top releases from the likes of johnnie walker and blue hanger. so quality brands from the likes of grant’s have to rethink. this is well made, tasty, balanced, complex, and drinkable without water or a mixer. but shouldn’t a premium whisky justify a strength of 46% abv? i think so. £50"
"that boutique-y whisky company (distilled at speyside) 17 year old, 53.4%",Single Malt Scotch,86,52,"few single malt whiskies from the speyside distillery make it to the u.s. this noses like a gammon joint glazed with sliced orange and a side order of sugar mice. hesitantly, a sip brings relief with dark chocolate, stewed rhubarb, strained raspberry juices, walnut, and burnt bakery goods. dry finish with remnants of cocoa. worth experimenting with water, as lovely candied peel and golden syrup notes peek out."
"that boutique-y whisky company (distilled at tobermory) 21 year old, 51.2%",Single Malt Scotch,86,65,"an aged island dram to mull over during the distillery’s lengthy closure for essential upgrades, this brims with lemon sherbet, summer fruits including cantaloupe, and bartlett pears poached in cream. tangy citrus balanced with ginger and peppery spice, cocoa notes, and black bun make for a lively mouthfeel. creamy fudge and jaffa cake rule once the spices die back. an enchantingly delicate orange sorbet flavor appears when diluted."
"that boutique-y whisky company (distilled at auchroisk) 20 year old, 47.9%",Single Malt Scotch,86,90,"lemon meringue pie, flaked almonds, cereal bars, almost porridge-like, enlivened by the tiniest pinch of allspice. a ferocious peppery intensity saves itself for the palate, where it tramples all over the lemon zest and apple flavors without mercy. once the conquering spices call it a day, this is a sweeter concoction, with soft fudge, brown sugar, and blueberry muffin. in the finish, the allspice has the final word. (batch 3; 162 bottles)"
"that boutique-y whisky company blended malt #2 18 year old (batch 3), 48%",Blended Malt Scotch Whisky,86,62,"a delicious and inviting proposition, this offers heather honey on toast, marmalade, dark vanilla, and flapjack aromas. soft on the palate, there are gingersnaps dipped in thick-cut marmalade and runny caramels, though the ginger flavor muscles its way to the fore eventually. water promotes more candied peel, before a spearmint conclusion. this is really enjoyable whisky for those lucky enough to get their hands on it. (30 bottles) £50"
"shieldaig 14 year old, 40%",Single Malt Scotch,86,60,"bottled by ian macleod distillers from an undisclosed producer, this islay single malt may well emanate from ardbeg. the nose offers lemon, rock pools, peat ash, and smoky malt, with a sweet, honeyed floral note at its heart. medium-bodied, with big citrus flavors, tingling spices, brine, ashy peat, and aniseed. aniseed lingers in the finish, with diminishing spiciness."
"royal salute the eternal reserve, 40%",Blended Scotch Whisky,86,180,"let me introduce you to infinity blending. 88 casks were blended and married in 88 casks for 6 months, then blended with another 88 casks. half is bottled, and half retained at strathisla’s royal salute vault for the next batch. the process is as fascinating as the whisky. caramel, toffee, green apple, jaffa orange, and vanilla pod aromas. dark sweetness, fresh orange accents: polished, juicy, and thirst quenching, though the brilliance lies in the amaranthine finish. (global travel retail only)"
"douglas laing old particular (distilled at highland park) 18 year old cask #0074, 48.4%",Single Malt Scotch,86,169,"the old particular non-chill filtered single cask expression of highland park was distilled in november 1995, matured in a refill hogshead, and bottled in december 2013. the outturn was 322 bottles. initially quite reticent on the nose, then toffee, cardboard, table salt, and very faint smoke. quite viscous on the palate, and dry peat becomes relatively prominent, with allspice and sea salt. the finish offers licorice and lingering spices. £100"
"douglas laing provenance (distilled at laphroaig) 8 year old, 46%",Single Malt Scotch,86,92,"what would you expect from an 8 year old laphroaig? iodine, massive peat, aggression? not here. rather, there’s a soft marine sweetness akin to lobster thermidor, with hints of salinity and tarragon. it builds in heft, and smoke, but there is real balance. complex already. the palate initially shows muted smoke, and is slightly medicinal, with balancing creaminess. water shatters this idyll somewhat, as the phenols come out in full force. it depends what side you want. i’d grab some. £60"
"douglas laing old particular (distilled at bunnahabhain) 17 year old, 48.4%",Single Malt Scotch,86,110,"rich gold. here we have a good example of bunna’ in full ‘welcome home to a warm house after a cold walk’ mode. warm, sweet, steamy, with a light mineral note, dried fruit, walnut, and that giveaway gingerbread signature. the palate is clean, spicy, and drier than the nose suggests, but has a soft center. a lovely dram for a chill summer evening. £75"
"douglas laing 21 year old (distilled at highland park), 52.6%",Single Malt Scotch,86,224,"this highland park bottling appears in douglas laing’s prestigious xop range, and after distillation in september 1994 the spirit in question was matured in a single refill hogshead (#10897) before bottling in september 2015. the outturn is just 228 bottles. boiled fruit sweets and malt on the nose, with underlying sea salt and gentle, leathery smoke. confident in the mouth, with allspice, honey, barley, and wood smoke. the finish is lengthy, with drying oak and peat. £155"
"douglas laing old particular 1988 (distilled at glenturret), 45.4%",Single Malt Scotch,86,144,"a 27 year old offering from glenturret, in perthshire, this bottling is from a refill hogshead that was filled in december 1988. fresh mango and ripe peaches on the early nose, followed by a slightly smoky, earthy note. viscous on the palate, with orchard fruit notes, coconut, caramel, and nutmeg. drying in the finish, with mildly tannic oak, black pepper, and a final flourish of citrus. (264 bottles) £110"
"douglas laing old particular 1995 (distilled at glen garioch), 51.5%",Single Malt Scotch,86,105,"distilled in september 1995, and after 20 years maturing in a refill hogshead this aberdeenshire single malt was bottled in february 2016. the nose is soft, with ginger, lots of floral notes, cinnamon, and vanilla. sweet and malty on the mature palate, with banana, honey, milk chocolate, and cocoa, plus big cinnamon and nutmeg spice notes. drying in the finish, with a drizzle of lemon juice and then black pepper. (254 bottles) £80"
"douglas laing old particular (distilled at girvan) 27 year old 1988, 62.6%",Single Grain Whisky,86,124,"buttery croissants, golden honey, peach stone, rye cracker bread, royal icing, vanilla essence, and dry oak. it’s sweet and sticky with icing sugar and yellow fruits before a scorching alcohol burn kicks in, lasting 30 seconds. it settles down to banana custard and vanilla, becoming tangy with candied peel, turkish delight, and edinburgh rock. the gum-tingling finish evaporates quickly. careful—water disables the flavors all too easily, though adds some toasty spice and warmth. (192 bottles) £96"
"douglas laing old particular (distilled at port dundas) 26 year old 1990, 51.9%",Single Grain Whisky,86,80,"can it really be six years since the distillery closed and they demolished the chimney stack? this nose has a much stronger grain character than the other two old particular releases, so one to try before you buy. beach driftwood and toasted spice aromas, with flavors of warm butterscotch, mandarin, and peach on a peppery base, shuffling into dried fruits and muscovado sugar before a spicy nougat finish. this is hardcore. (k&l wines exclusive, 243 bottles)"
"exclusive malts (distilled at dalmore) 18 year old 1996 cask # 2097, 52.5%",Single Malt Scotch,86,150,"this cask strength whisky is malty in the nose, along with peach, nectarine, and subtle oak. the entry is all malt, the kind of flavor that evokes ""malt reverence."" in the mid-palate it’s cereal grains spiced with allspice and black pepper. the finish is long and slightly salty, with a fair amount of heat from the alcohol, and a touch of oak. if you love the singular flavor of malt, this one may be for you. (u.s. only)"
"the exclusive malts (distilled at girvan) 27 year old 1988, 53.4%",Single Malt Scotch,86,180,"an uplifting nose of golden honey, linseed oil, vanilla, sanded oak, and wheat biscuits on this west coast grain. neat, it is mouth drenching. banana and ripe fruits are followed by juicy orange before a snarling pepper onslaught ensnares the tip of the tongue, igniting a glowing ball of white heat underneath. you can bask in this experience for minutes with each sip. water emphasizes the oak and mellows the dram to the flavor of almond-sprinkled custard. (180 bottles)"
"exclusive malts (distilled at dailuaine) 2007 10 year old, 58.4%",Single Malt Scotch,86,100,"this single cask, cask-strength bottling was matured in a port hogshead. slightly sharp on the initial nose, savory, and a touch vegetal. the palate is full and malty, offering creamy toffee, hazelnuts, ripe peaches, and ginger. creaminess lasts through the cinnamon-spiced medium-length finish. (290 bottles)"
"the exclusive malts (distilled at port dundas) 25 year old 1991, 53.6%",Single Grain Whisky,86,175,"vanilla ice cream drizzled in caramel and speared with a couple of wafers. ground hazelnut, faint dashes of cinnamon, and garam masala complete the nose. a brief opener of rich toffee and tangy citrus is overrun with a piquant, acidic rush and nippy alcohol flare. it’s actually light in texture, and a largely absorbing experience, ending on some dusty marshmallow notes, though never losing the tanginess. water accentuates the tangerine and mandarin but negates the mallow candy flavors. (264 bottles)"
"signatory un-chillfiltered collection 11 year old (distilled at edradour), 46%",Single Malt Scotch,86,67,"cask # 1013 from edradour was filled on march 5th, 2002 and bottled on february 26th, 2014 at 11 years of age. it has not been chill filtered and is offered at natural color. the nose yields sultanas, cloves, and sherry, plus an earthy aroma and a hint of machine oil. the palate is silky, with sweet sherry, digestive biscuits, soft spices, dates, and figs. the finish is medium and fruity, with dark chocolate-covered candy. £42"
"signatory cask strength collection (distilled at cambus) 22 year old 1991, 53.8%",Single Grain Whisky,86,110,"the closed grain distillery niche is small, but cambus rightly has its followers. the latest in a series of sequential cask releases from signatory, this refill butt signals a grassy nose of green hay bales, tangerine, potting compost, white pepper, and almond-studded nougat. to drink, it’s like joyously biting into a tangerine marshmallow, to be rewarded with thick cloudy puffs of flavor with a peppery accompaniment.  dabble with the water to reveal the delights of orange creamsicle pie. £65"
"gordon & macphail connoisseurs choice (distilled at clynelish) 1996, 46%",Single Malt Scotch,86,101,"a 1996 expression is the latest clynelish to take its place in the connoisseurs’ choice lineup. maturation occurred in refill sherry butts. fruity on the nose, with ripe bananas, malt, dark toffee, lemongrass, and a splash of brine. ultimately, a green, herbal note. relatively full-bodied, creamy and slightly waxy on the palate; spicy sherry, golden delicious apples, and old leather. the finish is medium to long, with lingering ginger. £60"
"gordon & macphail distillery labels (distilled at balblair) 10 year old, 43%",Single Malt Scotch,86,45,"independent bottler gordon & macphail offers a variety of balblair expressions, including a 1969 vintage and this 10 year old in their distillery labels series. matured in a mixture of refill sherry hogsheads and first-fill bourbon barrels. the nose offers rich, warm fruits, vanilla, sherry, maraschino cherries, and ultimately toffee and orange blossom. medium-bodied, sweet and fruity, with nutty milk chocolate, white pepper, and zesty spice. slowly drying in the finish with licorice and light oak."
"glen deveron 16 year old, 40%",Single Malt Scotch,86,78,"sweet on the nose, with malt, stewed apple, apricots, sherry, and warm spices. finally, caramel. quite viscous in the mouth; the palate continues the sweet, malty, spicy theme. ginger and soft fruits in the medium-length finish. straightforward and very drinkable. exclusively available to travelers at world duty free group stores in selected airports throughout the uk and spain. £46/liter"
"grand macnish 12 year old, 40%",Blended Scotch Whisky,86,25,"with a bottle shape that makes you want to go bowling, this blend has admirable balance between the fruit and the smoke on the nose. the bonfire smoke is matched with aromas of tarte tartin, pecan nut, red apple, and sultana. smooth and molten in the mouth, it has more weight and body than its older brother. there is citrus, apples, and the late arrival of baked spices, cookie dough, and mint chocolate on the finish."
"aultmore 21 year old, 46%",Single Malt Scotch,86,199,"light amber with that touch of acetone, along with marzipan, green apple, fruit blossom, and a runny caramel toffee/crème brûlée which adds width, while toasty oak and ginger biscuit give structure and spice. again, a lovely, almost oily feel — it’s dewar’s equivalent of linkwood — balancing fragrance with surprising depth in the mouth. water brings the oak into play and tightens the palate. (travel retail only) £125"
"label 5 extra premium 12 year old, 40%",Blended Scotch Whisky,86,25,"this is bursting with barley, sweet oak, and all-butter shortbread. there are charcoal sticks too, which add a cool smoke note. the taste is like a warm hug on a cold morning; flavors of butter toffee, orange, poached pear, and ginger snaps, which combine to keep that deep smoke in balance. the harmony continues into the lengthy finish with flavors of citrus, melon, and ground ginger."
"timorous beastie, 46.8%",Blended Malt Scotch Whisky,86,59,"this wee, sleekit, cow’rin, tim’rous beastie is a blended malt of highland whiskies from douglas laing, the latest of their regional recipes to join scallywag and big peat. perfumed soaps in muslin bags, dried sprigs of heather, beeswax, and edinburgh rock give this an intriguing bouquet. juicy: mandarins glow with green plums and granny smith apples. ripe, yellow fruits and spices mid-palate conclude with sweet malt and fading creaminess sweeping around the gums. distinctive and laudable. £39"
"timorous beastie 10 year old, 46.8%",Blended Malt Scotch Whisky,86,47,"soft and floral with perfumed lavender soap, peach, green apple, and parma violets. it floats in the mouth, dispensing flavors of sweet apple, custard, tangy tangerine, hard candies, green plum, marshmallow, and white pepper. delicious and accomplished, but there’s an overlap here: it feels like the nas version had a birthday, rather than the arrival of a new member of the family. £35"
"berry bros. & rudd exceptional casks (distilled at north british) 50 year old, 58.9%",Grain Scotch Whisky,86,763,"drawn from a pair of casks filled back in 1962, this brings out dried mango strips, white chocolate, melon, honeysuckle, and light vanilla with pepper and cumin around the fringes. plenty to explore. maple syrup flavors with plenty of thick tannins, but its vitality is intact. darker, verging on bitter notes appear later on as it melds into rootsy, funky territory with burnt butter, deep vanilla, treacle, and spiced coffee. more wood with dry nuttiness on the finish. leave off the water. £500"
"the lost distillery company classic selection lossit, 43%",Blended Malt Scotch Whisky,86,43,"the stills ran cold in this lost islay distillery at ballygrant in the 1860s. excitingly acrid smoke on the nose: like fireworks or the smoking muzzle of a rifle mingled with summer lemons and crunchy green pear. poached pears in cream, greengages, and peppercorns meet a stealthy, sour gooseberry takeover. fades to a chalky, sour fruit plateau before a chili heat finish."
"cadenhead’s (distilled at caol lla) 2000, 54.4%",Single Malt Scotch,86,120,"identifiably caol ila, with that light juniper note, lime, and very calm smoke. this sense of control continues as it opens very slowly into vanilla/cream with a little hint of salt, then fresh lychee. it is hot, so do water as this introduces a massively salty retro-nasal effect under which is this sweetly gentle mid-palate. lovely balance."
"the cooper’s choice (distilled at ben nevis) 18 year old, 46%",Single Malt Scotch,86,115,"distilled in 1996 and bottled in june 2015 after maturing in sherry casks, this cooper’s choice expression of ben nevis yields an initially savory character, with ripe figs, treacle, and a hint of tar. quite chewy in the mouth, with spicy toffee and cherries, which develop into more citric fruit over time. the finish is lengthy and warming, with a hint of oak and black coffee."
"douglas laing old particular (distilled at cameronbridge) 25 year old 1990, 60.6%",Single Grain Whisky,86,119,"this refill butt has produced a perfumed and aromatic whisky with peach, green foliage, maize, a spritz of melon juice, and a pinch of ground cinnamon and nutmeg rubbed between the fingers. it’s zingy! ginger sears the lips before the warmth of the ginger invades the mouth. the satin texture of honey and vanilla concludes with spangles, before it enters a long, mouth-coating finish of sweet ginger. with water, soft, ripe fruit abounds; the ginger harmonizes rather than attacks. (282 bottles) £83"
"bruichladdich octomore 7.1, 59.1%",Single Malt Scotch,86,168,"distilled in 2009, so remember this is only 5 years old. at this stage there’s not a lot of cask, but there is an insanely intense smoky, herbal note like eucalyptus, celery, spruce, pine resin, then some angelica and a crisp mineral edge. the palate is balanced between this intensity, big smoke, and bruichladdich’s typical oily, sweet core. water doesn’t affect it one little bit. it is bold, it is proud, it is in charge. i like its sheer ballsiness. £110"
"copper dog, 40%",Blended Malt Scotch Whisky,86,32,"named after the warehouseman’s preferred piece of pilfering paraphernalia, the 125 year old craigellachie hotel’s copper dog bar now boasts its own whisky. it’s an appealing blend of eight speyside malts, with honey, warm toast, pecan nut, apple turnover, fudge fingers, and orange peel. vanilla, orange pith, wood spice, caramel, and fresh apple develop into creamy nougat. takes a while to come into focus, then concludes with a spicy finish."
"grangestone sherry finish, 40%",Single Malt Scotch,86,29,"matured for 6 to 8 years in bourbon casks before finishing in sherry casks. the early nose is earthy, with dough balls, then sweeter sherry notes emerge, with ripe tangerines and honey. sweet sherry fills the full palate with black pepper and developing raisins. plain chocolate, black pepper, and aniseed in the relatively long finish. distillery not disclosed."
" j. mossman platinum crown 15 year old, 40%",Blended Scotch Whisky,86,54,"nutty nose, with toasted oak, savory peppered meats, and traces of wood smoke. it starts off deceptively lightweight, with sweet juicy mandarin before a takeover of sharper citrus elements. honey and gorgeous silky caramels slink by, chased by a gentle swish of spice. light pepperiness with chocolate notes ushers in an aromatic finish. a tasty blend, but the nose will not be everyone’s choice."
"cardhu 12 year old, 45%",Single Malt Scotch,85,45,"the decline in the spanish market has resulted in cardhu becoming more widely available, which is a good thing as far as i am concerned. this is a grassy malt, which at 12 years also has a heightened citric spray of sweet orange zest and a gingery aspect (it’s great with ginger ale). intense and vibrant with macadamia and a light heathery note, the palate confounds expectations, having a thick chewiness before the grass zings through, adding lift. "
"compass box great king street experimental tr-06, 43%",Blended Scotch Whisky,85,48,"one of two blended whiskies vying to be the official next great king street release, this is the peated version and it's gustier than the original, with less citrus and more peat. indeed, it's impressively full-flavored, with peat in the driving seat and ginger cake, lime, and dark chocolate, biscuits and pepper in the mix. best of all, unlike far too many scotch whiskies this year, it doesn't use peat to hide immature spirit. £30"
"the famous grouse malt whisky, 10 year old, 40%",Blended Malt Scotch Whisky,85,30,"for the past few years, famous grouse vintage vatted malt has been produced but not sold here in the u.s. they were in the 10-12 year old age range. this version being introduced to the u.s. is a non-vintage expression, and i don’t think it really matters. what matters is its taste. major components of the famous grouse blended whiskies have included the macallan and highland park, and there’s no doubt these malts are providing some of the richness and flavor complexity in this new expression. the whisky is quite hefty, with notes of juicy fruit, toffee, almonds, heather, and a wisp of vanilla and smoke. it is also very well balanced and quite a bargain for $30. 
"
"famous grouse mellow gold, 40%",Blended Scotch Whisky,85,33,"this has enticing flavors that will meet with the approval of the regular grouse drinker: heady florals with fresh peach, light honey, pecan, and underlying caramel. the palate is soothing with vanilla and tangerine, hallmarks of grouse, plus rosewater, almond, and whispering spices. gently does it, that’s the key to this: kick back and relax. this showcases the midas touch of gordon motion’s skills in liquid alchemy. a great value blend to boot. £22"
"johnnie walker explorers' club royal route, 40%",Blended Scotch Whisky,85,159,"i had to double check that price. my feelings are well recorded on premium whiskies bottled at 40% and if you were to ask me whether the whisky's worth the price tag, the answer's no. that doesn't make it a bad whisky, though; far from it. it has a light, dusty, and fruity nose reminiscent of raspberry sherbet, and on the palate there is trademark smoke, and pleasant toffee and treacle. good, but in stellar company here. (travel retail only) price is per liter."
"chivas regal extra, 40%, ",Blended Scotch Whisky,85,40,"a new oloroso-forward chivas positioned to split between the 12 and 18 year olds? i got this. refined and inviting nose of lemon pith, black fruits, and kola kubes. the velvety texture is wonderfully smooth, redolent of an apricot custard danish, lime zest, raisin, currant, mixed peel, and walnut, with a growing bitter-lemon note. quite unique finish, like sucking on lumpy spanish lemons speckled with spices. (la, ny, miami, chicago, northern california, but will go national)"
"dewar’s white label scratched cask, 40%",Blended Scotch Whisky,85,26,"what lies beneath the surface of dewar’s? here, the blend is finished in virgin and first-fill bourbon casks especially charred, then scratched to enable deeper penetration. thick wedge of vanilla and fudge with oaky accents, a dusty mouthfeel pulling in vanilla, light lemon, milk chocolate, and sweet toffee, ending on a cocoa powder note. compared with regular white label, this is less obviously sweet and creamy, adds complexity, and opens a bourbon connection. certainly, this is up to scratch."
"dewar’s 18 year old the vintage, 40%",Blended Scotch Whisky,85,80,"vanilla laced with spice, fondant icing, grapefruit peel, and lime zest leave the vanilla and floral notes lower down the pecking order. in the mouth, grapefruit and orange dominate the vanilla, yet the mouthfeel is thinner and the acidity tips toward the taste of bitter orange seeds. a lingering bitter orange finish."
